vessel_imo,mmsi,start_date,end_date
9273442,538006461,2015-07-09 23:26:46+00:00,2023-05-02 17:14:03+00:00
9274434,240124000,2012-01-03 17:09:14+00:00,2018-11-13 08:28:32+00:00
9274446,240145000,2012-01-02 20:03:42+00:00,2019-01-12 06:43:09+00:00
9274616,209448000,2012-01-04 04:51:58+00:00,2019-04-01 10:01:40+00:00
9274666,231701000,2012-01-08 21:16:01+00:00,2022-10-30 14:58:20+00:00
9274800,209055000,2012-01-03 01:44:02+00:00,2018-09-12 14:57:02+00:00
9275402,636012196,2012-01-03 10:47:19+00:00,2023-03-13 03:17:18+00:00
9275658,235849000,2012-01-02 18:39:28+00:00,2024-04-24 07:25:07+00:00
9275763,247273200,2012-07-31 17:50:43+00:00,2023-01-20 10:45:05+00:00
9275995,477274300,2012-01-01 00:29:51+00:00,2023-08-27 01:14:32+00:00
9276028,215572000,2012-01-13 16:20:25+00:00,2021-05-31 06:16:56+00:00
9276030,215571000,2012-01-01 05:59:28+00:00,2021-06-16 14:16:34+00:00
9277735,241305000,2014-02-01 16:18:47+00:00,2020-05-11 06:35:16+00:00
9277747,212084000,2012-01-15 00:19:15+00:00,2019-06-11 05:39:36+00:00
9277759,210857000,2019-04-28 12:41:59+00:00,2021-01-08 11:18:46+00:00
9277761,212032000,2012-01-14 05:58:13+00:00,2019-05-13 02:04:57+00:00
9277773,210979000,2012-01-13 00:23:17+00:00,2019-04-22 11:50:30+00:00
9278064,235007540,2012-01-01 14:32:41+00:00,2019-09-23 10:26:39+00:00
9278959,273442410,2012-10-15 23:38:02+00:00,2024-08-19 06:10:17+00:00
9279719,229315000,2013-01-07 11:23:07+00:00,2024-01-31 14:48:02+00:00
9280586,538006457,2017-08-28 16:45:19+00:00,2022-08-13 13:11:33+00:00
9281011,636017407,2016-03-22 02:12:19+00:00,2022-08-06 07:00:46+00:00
9281425,311943000,2012-01-01 02:27:43+00:00,2023-05-24 14:20:00+00:00
9281891,352002495,2023-03-14 14:45:15+00:00,2024-08-31 21:55:40+00:00
9282041,311645000,2012-01-13 08:54:26+00:00,2022-04-22 01:40:05+00:00
9282479,232400000,2012-01-12 00:39:35+00:00,2018-10-22 12:36:26+00:00
9282481,232150000,2012-01-13 03:59:15+00:00,2018-12-12 13:10:10+00:00
9282493,232153000,2012-01-04 18:31:41+00:00,2018-11-29 08:32:10+00:00
9282522,351365000,2012-01-03 23:48:14+00:00,2019-08-31 07:27:10+00:00
9282986,273617650,2023-01-16 07:53:03+00:00,2024-08-31 23:58:10+00:00
9283241,636018466,2018-02-08 12:26:40+00:00,2023-06-28 02:12:47+00:00
9283289,563685000,2012-06-28 04:33:13+00:00,2020-10-21 01:29:26+00:00
9283291,563463000,2012-04-06 10:27:10+00:00,2020-06-17 01:07:27+00:00
9284116,423205100,2012-10-16 17:50:23+00:00,2024-08-31 19:39:15+00:00
9284130,423155100,2012-10-15 20:17:36+00:00,2024-08-31 10:43:39+00:00
9284582,533345000,2012-11-02 11:43:03+00:00,2021-11-24 00:49:11+00:00
9284594,533346000,2012-01-13 02:53:00+00:00,2021-12-09 00:06:39+00:00
9284726,477669200,2016-06-08 21:05:39+00:00,2023-12-29 17:50:12+00:00
9285835,311056700,2012-01-04 20:29:42+00:00,2019-06-03 21:16:54+00:00
9285847,311061400,2012-01-01 00:34:41+00:00,2019-05-07 08:58:17+00:00
9285859,311066200,2012-03-05 15:21:07+00:00,2019-04-24 10:21:43+00:00
9286023,241314000,2014-03-25 17:25:01+00:00,2020-02-24 09:58:02+00:00
9286657,636012524,2012-01-01 06:18:49+00:00,2023-04-01 10:30:54+00:00
9288356,235009420,2012-01-15 23:37:26+00:00,2023-03-17 13:39:06+00:00
9288693,240244000,2012-01-02 13:12:38+00:00,2023-01-27 12:03:05+00:00
9288708,240290000,2012-01-12 21:58:13+00:00,2022-05-30 06:46:10+00:00
9288710,240305000,2012-01-17 21:02:08+00:00,2020-04-16 05:08:20+00:00
