vessel_imo,start,end,duration_hrs,lat_off,lon_off,lat_on,lon_on
9283289,2022-04-23 19:05:02.000000,2022-04-24 18:42:47.000000,23.616666666666667,40.00458833333333,-23.385976666666668,42.83,-17.52
9284582,2023-05-18 23:48:18.000000,2023-05-19 12:12:59.000000,12.4,14.406271666666667,53.220525,13.74005,50.706783333333334
9284582,2024-01-17 04:37:49.000000,2024-01-27 18:56:44.000000,254.3,7.191603333333333,75.66043,27.714065,33.88493
9285835,2022-04-11 09:36:02.000000,2022-04-12 23:00:32.990000,37.4,29.536516666666667,-73.09154166666667,32.685833333333335,-65.03255
9286657,2024-07-01 02:52:32.000000,2024-07-03 12:12:57.000000,57.333333333333336,32.86279,32.17268333333333,31.698415,32.1715
9288708,2023-04-16 18:27:51.000000,2023-04-23 04:21:31.000000,153.88333333333333,11.61395,62.108,17.6125,83.3438
9288708,2023-11-26 00:33:03.000000,2023-12-11 18:00:01.000000,377.43333333333334,17.301833333333335,66.25871666666667,36.171483333333335,-3.5084666666666666
9288710,2022-08-23 23:56:33.250000,2022-09-23 11:36:06.000000,731.65,35.3421,17.69985,21.699883333333332,38.12145
9288710,2024-05-20 10:50:36.000000,2024-05-22 01:52:59.000000,39.03333333333333,34.49106666666667,21.839733333333335,35.327416666666664,16.421166666666668
9288710,2024-07-10 20:34:43.000000,2024-07-12 03:33:40.000000,30.966666666666665,14.4294,53.1614,18.39131666666667,58.015883333333335
9288722,2023-08-27 10:11:06.000000,2023-08-29 14:47:23.000000,52.6,20.35645,38.51768333333333,27.65835,33.953316666666666
9288722,2024-08-20 10:36:10.000000,2024-08-21 07:07:09.000000,20.5,33.90133333333333,23.61155,33.36675,34.370416666666664
9288722,2022-04-17 16:17:42.330000,2022-04-19 07:51:50.520000,39.56666666666667,35.3284,18.47085,32.42528333333333,29.3967
9288734,2023-05-17 06:57:21.000000,2023-05-19 04:00:04.000000,45.03333333333333,10.282336666666666,67.61193833333333,14.260996666666667,58.039925
9288734,2023-07-03 13:32:03.000000,2023-07-05 11:29:21.000000,45.95,20.822511666666667,38.23143,29.239598333333333,32.74718166666667
9288734,2023-08-29 17:41:24.000000,2023-08-31 06:48:10.000000,37.1,33.9675,13.605575,40.36899,18.872868333333333
9288746,2023-11-26 00:33:05.000000,2024-02-11 08:45:28.000000,1856.2,17.577471666666668,59.78002333333333,59.83418833333333,25.635648333333332
9288851,2024-01-11 01:37:48.000000,2024-01-12 01:31:49.000000,23.9,14.37327,52.707011666666666,13.048455,48.479635
9289518,2022-10-03 06:32:07.000000,2022-10-11 09:20:48.000000,194.8,-2.5838533333333333,2.8772933333333333,-35.10271,21.924293333333335
9289520,2023-03-01 20:33:02.000000,2023-03-05 21:18:38.000000,96.75,14.01491,56.80957333333333,17.029355,39.92124333333334
9289520,2024-03-11 13:52:01.000000,2024-03-12 18:51:48.000000,28.983333333333334,13.202568333333334,-65.76896666666667,12.458061666666667,-70.732635
9289532,2024-09-03 07:12:36.000000,2024-09-14 15:38:20.000000,272.4166666666667,46.313026666666666,-10.917146666666667,-0.027861666666666667,-51.05189
9290309,2024-06-09 00:23:32.000000,2024-07-24 23:19:52.000000,1102.9333333333334,11.64065,63.51974666666667,31.456675,32.31158666666666
9290373,2024-05-12 11:39:48.000000,2024-05-13 00:46:48.000000,13.116666666666667,15.237975,58.34659166666667,16.410708333333332,61.166725
9290373,2024-08-16 10:07:04.000000,2024-08-26 10:28:11.000000,240.35,22.396513333333335,37.78904166666667,22.573173333333333,69.78918666666667
9290828,2024-06-06 09:29:00.000000,2024-06-07 11:24:18.000000,25.916666666666668,-2.4529533333333333,-34.75485666666667,3.2033883333333333,-34.19359
9290828,2024-06-08 14:00:41.000000,2024-06-10 13:22:44.000000,47.36666666666667,9.156878333333333,-33.62793166666667,17.724088333333334,-28.458541666666665
9291640,2022-09-16 17:13:53.000000,2022-09-17 21:59:37.960000,28.75,48.375975,-21.628536666666665,47.04593166666667,-29.01402
9292046,2022-01-10 11:20:01.000000,2022-01-11 02:48:50.000000,15.466666666666667,29.87327,138.56363,30.358078333333335,134.83646833333333
9292199,2022-02-27 20:47:45.440000,2022-02-28 09:56:46.000000,13.15,-24.128166666666665,-41.88986666666667,-24.129253333333335,-41.88874666666667
9292199,2022-03-23 11:10:07.000000,2022-03-23 23:22:28.000000,12.2,-24.122083333333332,-41.88875,-24.1242,-41.8907
9292199,2022-04-19 10:21:06.000000,2022-04-19 23:03:47.470000,12.7,-24.1232,-41.88993333333333,-24.124016666666666,-41.890683333333335
9292204,2022-10-10 11:59:43.000000,2022-10-11 05:37:03.000000,17.616666666666667,12.586603333333333,47.03447333333333,12.837583333333333,43.269776666666665
9292204,2024-03-19 08:33:09.000000,2024-04-19 23:54:22.000000,759.35,33.231928333333336,30.225023333333333,23.832438333333332,36.61908833333333
9292204,2024-07-28 20:27:01.000000,2024-07-29 14:29:24.000000,18.033333333333335,32.88582,28.524733333333334,31.689531666666667,32.63957
9293155,2022-05-06 10:06:22.000000,2022-05-07 01:17:37.000000,15.183333333333334,33.892633333333336,12.671133333333334,33.89905,12.677866666666667
9296391,2022-07-02 15:50:29.000000,2023-04-29 21:00:22.000000,7229.15,35.9916,-12.352583333333333,45.62871666666667,151.42721666666668
9296406,2023-07-07 07:46:28.000000,2023-07-07 22:23:39.000000,14.616666666666667,16.4212,55.815416666666664,15.39365,54.30193333333333
9296406,2022-12-11 05:00:35.000000,2022-12-12 03:49:05.000000,22.8,13.017933333333334,84.5863,17.70361666666667,86.10888333333334
9297345,2023-11-23 04:07:20.000000,2023-11-25 12:08:35.000000,56.016666666666666,17.664,39.88633333333333,27.511666666666667,34.17016666666667
9297888,2022-03-16 20:15:59.000000,2022-03-17 14:10:04.000000,17.9,-7.685801666666666,11.780115,-7.685926666666667,11.780353333333334
9298272,2024-01-01 03:14:11.000000,2024-01-02 05:35:43.000000,26.35,8.397265,71.44133333333333,10.284913333333334,66.28777833333334
9298492,2022-07-16 04:01:15.000000,2022-08-04 21:06:17.000000,473.0833333333333,11.478256666666667,-17.76238,27.668116666666666,-15.096615
9298492,2022-08-28 02:50:00.000000,2022-08-28 15:39:02.000000,12.816666666666666,17.692943333333332,-19.18781,14.835255,-19.285976666666667
9298492,2023-04-11 16:29:09.000000,2023-04-16 12:04:39.000000,115.58333333333333,11.376608333333333,-20.13562,4.311311666666667,0.13020166666666666
9299678,2022-03-14 23:09:43.000000,2022-03-15 16:22:20.000000,17.2,34.549616666666665,-11.139616666666667,37.35211666666667,-10.735816666666667
9299678,2022-07-30 15:11:58.000000,2022-07-31 07:02:44.320000,15.833333333333334,12.003516666666666,-17.926083333333334,9.240666666666666,-16.460633333333334
9299692,2024-03-23 18:40:02.000000,2024-04-01 22:20:35.000000,219.66666666666666,38.199455,-51.2805,23.065383333333333,-81.53469166666666
9299769,2024-09-17 14:20:23.000000,2024-09-18 06:59:59.000000,16.65,63.03325,-175.5813,65.63278333333334,-169.74875
9299862,2022-07-22 12:59:06.000000,2022-07-25 10:02:30.098902,69.05,-5.719833333333334,8.305333333333333,4.425833333333333,0.841
9299874,2022-09-22 20:02:11.000000,2022-10-12 09:14:41.000000,469.2,14.670936666666666,-122.977805,33.530033333333336,128.49166666666667
9301419,2023-03-16 18:03:39.000000,2023-03-17 06:12:33.000000,12.133333333333333,41.19201666666667,134.40168333333332,38.57528333333333,132.27418333333333
9301524,2024-06-29 11:42:30.000000,2024-06-30 01:11:33.000000,13.483333333333333,33.201475,31.172103333333332,32.35386333333334,31.573058333333332
9302126,2024-03-25 07:12:53.000000,2024-03-25 21:25:28.000000,14.2,3.618,-26.953728333333334,6.553201666666666,-25.76421
9302126,2024-06-04 09:01:01.000000,2024-06-05 06:29:05.000000,21.466666666666665,8.407873333333333,-25.173476666666666,12.874038333333333,-23.06429333333333
9302126,2023-03-18 16:14:07.000000,2023-03-27 03:42:46.000000,203.46666666666667,13.199536666666667,-19.81922,5.582865,0.07211166666666667
9302126,2023-04-16 07:43:04.000000,2023-04-18 06:24:45.000000,46.68333333333333,0.8937383333333333,-3.282478333333333,2.1208666666666667,-12.365108333333334
9302126,2023-09-13 19:50:24.000000,2023-09-14 20:21:41.000000,24.516666666666666,-13.688295,-36.592205,-18.916393333333332,-38.19328333333333
9304356,2024-08-11 20:25:00.000000,2024-08-13 08:49:41.000000,36.4,12.932265,48.08987,13.836961666666667,42.510443333333335
9304356,2023-10-12 20:38:59.000000,2023-10-13 12:11:37.000000,15.533333333333333,16.451606666666667,57.11492333333333,18.878376666666668,58.557575
9306627,2023-01-18 00:01:50.000000,2023-01-19 02:28:59.000000,26.45,33.808568333333334,-175.18770833333335,34.122098333333334,-169.22122166666668
