vessel_imo,flag,start_date,end_date
9242120,St.Kitts and Nevis,2020-02-01,2021-01-01
9242120,Togo,2021-01-01,2022-12-01
9242120,Panama,2022-12-01,
9242223,Greece,2003-01-01,2004-03-01
9242223,"Hong Kong, China",2004-03-01,2012-09-01
9242223,Panama,2012-09-01,2016-07-01
9242223,Singapore,2016-07-01,2022-11-01
9242223,Liberia,2022-11-01,
9246475,Marshall Islands,2003-03-01,2004-09-01
9246475,Marshall Islands,2004-09-01,2004-09-01
9246475,Germany,2004-09-01,2020-02-01
9246475,Liberia,2020-02-01,2020-02-01
9246475,Germany,2020-02-01,2024-04-01
9246475,Panama,2024-04-01,
9247065,Panama,2003-04-01,2005-01-01
9247065,Saudi Arabia,2005-01-01,2014-06-01
9247065,Saudi Arabia,2014-06-01,2014-06-01
9247065,Panama,2014-06-01,2018-03-01
9247065,Dominica,2018-03-01,2020-12-01
9247065,"Hong Kong, China",2020-12-01,
9247431,Bahamas,2003-01-01,2017-03-01
9247431,Liberia,2017-03-01,2023-01-01
9247431,Panama,2023-01-01,
9247778,Marshall Islands,2002-03-01,2008-08-01
9247778,Denmark (DIS),2008-08-01,2019-08-01
9247778,Panama,2019-08-01,2020-07-01
9247778,Palau (Republic of),2020-07-01,
9247780,Isle of Man,2003-01-01,2013-01-01
9247780,Liberia,2013-01-01,2023-08-01
9247780,Panama,2023-08-01,
9247792,Isle of Man,2003-01-01,2013-03-01
9247792,Liberia,2013-03-01,2023-06-01
9247792,Panama,2023-06-01,
9247883,Liberia,2002-12-01,2017-04-01
9247883,Panama,2017-04-01,2021-06-01
9247883,Tuvalu,2021-06-01,2022-07-01
9247883,Palau (Republic of),2022-07-01,2024-03-01
9247883,Cook islands,2024-03-01,
9248796,Panama,2002-01-01,2003-01-01
9248796,Malta,2003-01-01,2022-07-01
9248796,Marshall Islands,2022-07-01,2024-03-01
9248796,Guinea-Bissau,2024-03-01,
9248801,Greece,2003-01-01,2003-01-01
9248801,Panama,2003-01-01,2011-08-01
9248801,Malta,2011-08-01,2022-06-01
9248801,St.Kitts and Nevis,2022-06-01,2023-04-01
9248801,Not Known,2023-04-01,2023-06-01
9248801,Panama,2023-06-01,
9248849,Marshall Islands,2004-01-01,2019-07-01
9248849,Indonesia,2019-07-01,2023-07-01
9248849,Marshall Islands,2023-07-01,2024-07-01
9248849,Indonesia,2024-07-01,2024-08-01
9248849,Sierra leone,2024-08-01,
9249087,Croatia,2005-01-01,2017-07-01
9249087,Liberia,2017-07-01,2024-04-01
9249087,Not Known,2024-04-01,
9249128,Cyprus,2004-01-01,2022-11-01
9249128,Panama,2022-11-01,2024-04-01
9249128,Russia,2024-04-01,
9249130,Cyprus,2004-09-01,2021-08-01
9249130,Panama,2021-08-01,2022-11-01
9249130,Liberia,2022-11-01,2024-04-01
9249130,Antigua and Barbuda,2024-04-01,
9249312,Liberia,2001-01-01,2001-11-01
9249312,Norway,2001-11-01,2003-07-01
9249312,Liberia,2003-07-01,2003-07-01
9249312,Germany,2003-07-01,2019-05-01
9249312,Liberia,2019-05-01,2019-05-01
9249312,Germany,2019-05-01,2022-01-01
9249312,Panama,2022-01-01,2022-10-01
9249312,Palau (Republic of),2022-10-01,2023-07-01
9249312,Panama,2023-07-01,2024-06-01
9249312,Palau (Republic of),2024-06-01,2024-08-01
9249312,Cook islands,2024-08-01,2024-08-01
9249312,Panama,2024-08-01,
9249324,Liberia,2001-01-01,2001-12-01
9249324,Norway (NIS),2001-12-01,2003-08-01
